Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,purchase information.Purchase_Category,purchase information.Purchase_Amount,purchase information.Frequency_of_Purchase,purchase information.Purchase_Channel,purchase information.Product_Rating,purchase information.Product_Rating word,purchase information.Return_Rate,purchase information.Return_Rate word,purchase information.Payment_Method,purchase information.Shipping_Preference,purchase information.Discount_Used,purchase information.Time_of_Purchase,purchasing behavior.Brand_Loyalty,purchasing behavior.Time_Spent_on_Product_Research(hours),purchasing behavior.Social_Media_Influence,purchasing behavior.Discount_Sensitivity,purchasing behavior.Engagement_with_Ads,purchasing behavior.Device_Used_for_Shopping,purchasing behavior.Time_to_Decision,Evaluation and satisfaction.Customer_Loyalty_Program_Member,Evaluation and satisfaction.Purchase_Intent,Evaluation and satisfaction.Customer_Satisfaction,Evaluation and satisfaction.Customer_Satisfaction word
00-477-9449,36,Female,Middle,Widowed,Bachelor's,High,White Rock,Mobile Accessories,236.99,10,Mixed,4,Medium,0,No Return,PayPal,No Preference,TRUE,09/12/2024,2,0,High,Very Sensitive,None,Tablet,13,TRUE,Impulsive,8,Satisfied 
67-159-7366,29,Male,High,Widowed,Bachelor's,Middle,Monastyrshchina,Packages,454.39,10,Store,4,Medium,0,No Return,Other,Standard,FALSE,23/07/2024,2,2,Medium,Not Sensitive,None,Desktop,3,TRUE,Impulsive,3,Dissatisfied 
85-691-4293,21,Female,Middle,Widowed,High School,Middle,Pangkalanbunut,Electronics,490.75,10,Store,4,Medium,1,Low Return,Debit Card,Standard,FALSE,08/07/2024,2,1,None,Very Sensitive,Low,Smartphone,13,FALSE,Wants-based,4,Somewhat Dissatisfied 
56-085-0464,36,Female,High,Married,Master's,High,Lederaba,Software & Apps,463.07,7,Mixed,2,Low,1,Low Return,PayPal,No Preference,TRUE,23/07/2024,4,0,None,Very Sensitive,Medium,Smartphone,11,FALSE,Wants-based,2,Very Dissatisfied 
33-264-2822,38,Female,High,Divorced,Bachelor's,Middle,Lugo,Baby Products,56.74,5,Online,1,Low,0,No Return,Other,Express,TRUE,31/07/2024,5,0,Medium,Very Sensitive,None,Smartphone,7,FALSE,Impulsive,6,Somewhat Satisfied 
95-478-2650,37,Male,Middle,Single,Bachelor's,Middle,São Roque,Toys & Games,371.32,7,Store,4,Medium,2,High Return,Debit Card,Standard,TRUE,25/02/2024,4,0.7,Medium,Not Sensitive,None,Tablet,6,TRUE,Impulsive,1,Very Dissatisfied 
04-349-6759,33,Female,High,Married,Bachelor's,High,Banī Khaddāsh,Software & Apps,461,7,Online,4,Medium,0,No Return,Cash,Standard,FALSE,10/07/2024,2,1,High,Not Sensitive,Low,Tablet,9,TRUE,Wants-based,8,Satisfied 
21-755-8745,37,Female,High,Widowed,High School,High,Montpellier,Food & Beverages,253.37,6,Store,1,Low,2,High Return,Other,Standard,TRUE,25/12/2024,4,1,None,Very Sensitive,High,Tablet,8,FALSE,Impulsive,10,Extremely Satisfied 
29-625-7057,31,Male,Middle,Single,Master's,Middle,Nesovice,Packages,136.53,3,Mixed,4,Medium,1,Low Return,PayPal,Standard,TRUE,31/05/2024,2,2,High,Not Sensitive,High,Smartphone,10,TRUE,Planned,3,Dissatisfied 
58-623-8404,50,Female,High,Single,Master's,High,Pasirhuni,Arts & Crafts,489.05,10,Online,3,Medium,2,High Return,PayPal,Standard,TRUE,04/09/2024,5,0,High,Somewhat Sensitive,High,Desktop,7,TRUE,Planned,2,Very Dissatisfied 
56-506-4709,50,Male,Middle,Married,Bachelor's,Middle,Glendale,Electronics,81.91,10,Store,4,Medium,0,No Return,Debit Card,Express,FALSE,24/07/2024,3,1,Medium,Very Sensitive,None,Desktop,2,TRUE,Need-based,4,Somewhat Dissatisfied 
25-839-8670,45,Male,Middle,Widowed,High School,Middle,Tála,Arts & Crafts,135.8,2,Store,5,High,1,Low Return,Debit Card,No Preference,FALSE,16/11/2024,2,1,Low,Somewhat Sensitive,High,Desktop,9,TRUE,Planned,2,Very Dissatisfied 
89-194-0596,33,Female,High,Married,Bachelor's,Middle,Marseille,Health Supplements,382.24,12,Store,5,High,1,Low Return,PayPal,Standard,TRUE,06/07/2024,1,1,High,Very Sensitive,High,Tablet,3,TRUE,Planned,4,Somewhat Dissatisfied 
55-163-1389,24,Female,High,Divorced,Bachelor's,High,Nasielsk,Gardening & Outdoors,354.7,5,Online,2,Low,2,High Return,Other,Express,TRUE,10/02/2024,4,0,None,Very Sensitive,None,Smartphone,12,FALSE,Planned,7,Satisfied 
14-305-8712,48,Male,High,Widowed,High School,Middle,Bronnitsy,Mobile Accessories,433.82,6,Online,2,Low,0,No Return,Other,Express,FALSE,29/06/2024,3,1,Medium,Somewhat Sensitive,Medium,Desktop,10,TRUE,Planned,8,Satisfied 
17-198-5155,30,Male,High,Single,Bachelor's,High,Qianjin,Mobile Accessories,454.38,10,Online,4,Medium,0,No Return,PayPal,No Preference,TRUE,15/06/2024,3,0,None,Somewhat Sensitive,Medium,Smartphone,7,FALSE,Impulsive,10,Extremely Satisfied 
15-354-9904,34,Male,Middle,Single,Bachelor's,High,Bagahanlad,Mobile Accessories,138.88,7,Store,4,Medium,1,Low Return,Cash,No Preference,TRUE,08/06/2024,2,1,None,Not Sensitive,None,Tablet,4,FALSE,Planned,3,Dissatisfied 
35-198-9248,21,Female,Middle,Widowed,High School,Middle,Rzewnie,Books,52.34,6,Store,4,Medium,1,Low Return,PayPal,Express,TRUE,21/05/2024,3,1,Low,Somewhat Sensitive,Medium,Tablet,13,TRUE,Planned,5,Neutral 
03-950-6074,36,Male,Middle,Married,Master's,Middle,Strabychovo,Groceries,338.2,7,Online,5,High,1,Low Return,Other,Standard,TRUE,01/09/2024,3,0,None,Not Sensitive,Medium,Tablet,7,FALSE,Wants-based,9,Very Satisfied 
19-999-0134,30,Female,Middle,Widowed,Bachelor's,Middle,Hongqi,Toys & Games,263.15,3,Store,5,High,1,Low Return,Other,Express,TRUE,04/03/2024,1,1,High,Somewhat Sensitive,High,Tablet,10,FALSE,Impulsive,10,Extremely Satisfied 
57-989-1487,46,Female,Middle,Divorced,High School,High,Oeoh,Software & Apps,371.58,2,Mixed,1,Low,0,No Return,Cash,No Preference,TRUE,13/09/2024,2,2,High,Not Sensitive,None,Smartphone,11,TRUE,Wants-based,10,Extremely Satisfied 
07-816-2673,46,Male,Middle,Married,Master's,Middle,Topol’noye,Health Care,353.4,2,Online,3,Medium,0,No Return,Credit Card,No Preference,FALSE,06/12/2024,2,2,Medium,Very Sensitive,Low,Tablet,3,TRUE,Impulsive,1,Very Dissatisfied 
70-761-3550,43,Female,High,Widowed,Master's,Middle,Kovářov,Software & Apps,329.41,5,Store,3,Medium,1,Low Return,Cash,No Preference,TRUE,21/10/2024,5,0,Medium,Somewhat Sensitive,High,Desktop,2,TRUE,Need-based,1,Very Dissatisfied 
38-242-3251,43,Female,High,Divorced,Bachelor's,Middle,Majdal Banī Fāḑil,Food & Beverages,54.46,5,Online,5,High,1,Low Return,Other,Standard,FALSE,17/11/2024,4,1,High,Not Sensitive,Low,Tablet,1,FALSE,Impulsive,1,Very Dissatisfied 
95-525-0842,34,Male,High,Single,Master's,High,Delta del Tigre,Books,257.12,8,Online,1,Low,2,High Return,Other,No Preference,TRUE,24/07/2024,2,0,High,Not Sensitive,High,Smartphone,11,FALSE,Impulsive,1,Very Dissatisfied 
37-101-4922,42,Male,Middle,Married,Master's,High,Santa Cruz La Laguna,Arts & Crafts,293.04,11,Store,2,Low,1,Low Return,PayPal,Standard,TRUE,03/03/2024,4,1,None,Very Sensitive,Low,Desktop,6,FALSE,Planned,3,Dissatisfied 
37-128-5425,40,Male,High,Widowed,Bachelor's,Middle,Manchester,Books,110.4,12,Mixed,1,Low,1,Low Return,Debit Card,Standard,FALSE,13/11/2024,5,2,None,Somewhat Sensitive,Medium,Tablet,12,FALSE,Need-based,3,Dissatisfied 
27-439-9545,25,Female,High,Married,Bachelor's,High,Norrköping,Mobile Accessories,76.27,4,Store,3,Medium,0,No Return,Credit Card,Standard,TRUE,24/12/2024,2,0,None,Not Sensitive,Medium,Smartphone,10,FALSE,Wants-based,8,Satisfied 
37-126-7954,38,Female,Middle,Divorced,Bachelor's,High,Sośno,Toys & Games,392.08,6,Online,5,High,2,High Return,Other,Express,TRUE,04/08/2024,2,1,None,Very Sensitive,High,Tablet,6,TRUE,Need-based,7,Satisfied 
82-990-0504,46,Female,Middle,Widowed,Bachelor's,Middle,Pélla,Toys & Games,51.22,6,Online,1,Low,1,Low Return,Cash,Standard,TRUE,25/08/2024,2,0,None,Very Sensitive,Medium,Tablet,5,TRUE,Planned,5,Neutral 
21-734-0212,24,Male,Middle,Widowed,High School,High,Namur,Clothing,227.57,2,Online,2,Low,1,Low Return,PayPal,No Preference,FALSE,17/08/2024,1,0,High,Somewhat Sensitive,None,Tablet,14,TRUE,Wants-based,6,Somewhat Satisfied 
53-639-3774,37,Female,Middle,Single,Bachelor's,Middle,Qinghaihu,Groceries,378.87,7,Online,2,Low,1,Low Return,PayPal,No Preference,TRUE,01/04/2024,1,0,None,Very Sensitive,Low,Tablet,5,FALSE,Planned,2,Very Dissatisfied 
20-817-9584,42,Female,Middle,Widowed,Master's,Middle,Alfeizerão,Beauty & Personal Care,423.92,8,Mixed,1,Low,0,No Return,Credit Card,Standard,FALSE,24/08/2024,3,2,Low,Somewhat Sensitive,High,Tablet,8,TRUE,Need-based,9,Very Satisfied 
72-431-5021,35,Female,High,Married,Master's,High,Oeiras,Travel & Leisure Flights,299.31,7,Mixed,4,Medium,2,High Return,Debit Card,Express,TRUE,01/02/2024,2,1,Medium,Very Sensitive,None,Desktop,3,FALSE,Need-based,3,Dissatisfied 
07-479-3919,27,Male,Middle,Single,High School,High,Kýthnos,Animal Feed,169.28,7,Mixed,4,Medium,2,High Return,Cash,No Preference,TRUE,17/06/2024,4,1,None,Somewhat Sensitive,Low,Tablet,6,TRUE,Impulsive,1,Very Dissatisfied 
17-032-6274,40,Male,High,Married,Bachelor's,High,Rizal,Office Supplies,449.13,9,Store,1,Low,2,High Return,Credit Card,No Preference,FALSE,12/06/2024,2,0.5,Medium,Not Sensitive,Low,Tablet,14,FALSE,Planned,2,Very Dissatisfied 
64-166-9097,34,Female,High,Single,High School,High,Fullerton,Animal Feed,427.48,6,Online,2,Low,1,Low Return,Debit Card,Standard,TRUE,16/12/2024,4,0,Medium,Not Sensitive,Low,Smartphone,11,FALSE,Impulsive,1,Very Dissatisfied 
39-499-3854,25,Female,Middle,Married,Bachelor's,Middle,Huaidao,Sports & Outdoors,171.61,3,Online,1,Low,1,Low Return,Credit Card,Express,TRUE,31/10/2024,3,2,Low,Very Sensitive,High,Desktop,8,FALSE,Planned,6,Somewhat Satisfied 
39-636-5871,38,Female,High,Divorced,Bachelor's,High,Bilice,Books,240.28,3,Online,5,High,2,High Return,Cash,Standard,TRUE,07/12/2024,3,2,High,Not Sensitive,Medium,Tablet,4,TRUE,Impulsive,7,Satisfied 
35-192-9050,32,Female,Middle,Married,Bachelor's,High,Hunkuyi,Furniture,310.17,6,Store,3,Medium,0,No Return,Debit Card,No Preference,FALSE,24/02/2024,2,2,Medium,Very Sensitive,None,Smartphone,13,FALSE,Wants-based,10,Extremely Satisfied 
91-440-0011,50,Female,Middle,Widowed,High School,Middle,Shiree,Hotels,166,10,Online,3,Medium,2,High Return,PayPal,Express,FALSE,11/06/2024,5,0,High,Not Sensitive,Medium,Smartphone,5,FALSE,Impulsive,10,Extremely Satisfied 
20-830-4758,35,Male,Middle,Widowed,High School,Middle,Strezhevoy,Baby Products,362.01,2,Store,4,Medium,2,High Return,Debit Card,Express,FALSE,24/11/2024,2,1,None,Somewhat Sensitive,Medium,Tablet,1,FALSE,Impulsive,1,Very Dissatisfied 
29-779-7209,34,Female,High,Widowed,Master's,High,Pilaya,Animal Feed,395.97,9,Store,4,Medium,1,Low Return,Debit Card,Standard,TRUE,18/08/2024,1,0,Medium,Very Sensitive,Low,Tablet,1,TRUE,Wants-based,6,Somewhat Satisfied 
12-409-5166,48,Female,Middle,Divorced,Bachelor's,High,Camp Ithier,Sports & Outdoors,474.99,9,Online,4,Medium,0,No Return,Credit Card,Standard,TRUE,10/07/2024,2,1,None,Somewhat Sensitive,High,Desktop,5,FALSE,Planned,8,Satisfied 
74-478-5950,37,Female,Middle,Divorced,Bachelor's,Middle,Luxi,Luxury Goods,286.43,4,Mixed,3,Medium,2,High Return,Cash,Express,TRUE,12/07/2024,1,0,High,Very Sensitive,None,Desktop,14,FALSE,Wants-based,3,Dissatisfied 
71-197-8227,37,Male,Middle,Divorced,High School,High,Tocoa,Sports & Outdoors,414.83,2,Mixed,4,Medium,2,High Return,Credit Card,Express,FALSE,16/07/2024,2,0.5,High,Somewhat Sensitive,High,Desktop,8,FALSE,Planned,4,Somewhat Dissatisfied 
15-530-3861,36,Female,High,Divorced,High School,High,Bayan Tuohai,Books,391.38,5,Store,2,Low,0,No Return,Other,No Preference,FALSE,02/04/2024,5,2,Low,Not Sensitive,Low,Tablet,8,FALSE,Need-based,7,Satisfied 
30-567-4471,34,Male,Middle,Married,Bachelor's,Middle,Parumasan,Furniture,368.4,11,Online,5,High,0,No Return,Credit Card,No Preference,FALSE,21/06/2024,2,1,High,Not Sensitive,High,Desktop,13,FALSE,Need-based,3,Dissatisfied 
69-692-0614,18,Female,Middle,Widowed,Bachelor's,High,Shāhzādpur,Home Appliances,424.39,9,Mixed,1,Low,0,No Return,Credit Card,No Preference,TRUE,26/02/2024,3,1,High,Somewhat Sensitive,Low,Smartphone,13,FALSE,Wants-based,7,Satisfied 
12-839-8066,20,Male,High,Divorced,Bachelor's,Middle,Muaratiga,Health Supplements,197.12,10,Store,4,Medium,1,Low Return,Other,Standard,TRUE,14/06/2024,4,0,Low,Somewhat Sensitive,Medium,Tablet,10,TRUE,Wants-based,1,Very Dissatisfied 
05-465-8765,27,Male,High,Widowed,High School,Middle,Gjegjan,Books,454.57,9,Mixed,5,High,0,No Return,Debit Card,Express,TRUE,24/03/2024,2,1,Low,Somewhat Sensitive,Medium,Smartphone,1,TRUE,Wants-based,1,Very Dissatisfied 
81-580-3810,36,Male,Middle,Married,High School,High,Créteil,Electronics,298.38,4,Mixed,4,Medium,0,No Return,Cash,Standard,FALSE,27/04/2024,3,2,High,Very Sensitive,Low,Tablet,3,TRUE,Need-based,2,Very Dissatisfied 
74-353-6312,46,Male,Middle,Married,Bachelor's,Middle,Pameungpeuk,Clothing,111.7,6,Online,5,High,2,High Return,Credit Card,Standard,FALSE,07/11/2024,4,0,Medium,Somewhat Sensitive,High,Tablet,7,FALSE,Planned,5,Neutral 
78-824-1887,26,Male,Middle,Married,High School,Middle,Junshan,Clothing,373.69,10,Online,2,Low,1,Low Return,Credit Card,Express,FALSE,04/12/2024,3,2,Medium,Not Sensitive,None,Tablet,14,TRUE,Impulsive,8,Satisfied 
31-218-0024,21,Male,High,Divorced,High School,Middle,Lewotola,Jewelry & Accessories,354.87,5,Store,1,Low,2,High Return,Cash,Express,FALSE,18/04/2024,1,0,None,Not Sensitive,None,Desktop,12,TRUE,Planned,4,Somewhat Dissatisfied 
15-711-4107,43,Female,High,Married,Bachelor's,High,Laocheng,Mobile Accessories,214.48,2,Online,2,Low,1,Low Return,Cash,Express,TRUE,21/04/2024,4,2,None,Very Sensitive,None,Tablet,2,TRUE,Wants-based,3,Dissatisfied 
76-672-1193,19,Male,High,Divorced,High School,High,Guacarí,Software & Apps,399.58,6,Store,4,Medium,1,Low Return,Other,Standard,TRUE,25/09/2024,3,0,None,Very Sensitive,Low,Tablet,7,FALSE,Need-based,8,Satisfied 
46-503-5589,41,Female,High,Widowed,Master's,High,Sancang,Luxury Goods,380.99,7,Mixed,2,Low,0,No Return,Cash,No Preference,TRUE,09/12/2024,1,1,Low,Somewhat Sensitive,Medium,Desktop,8,TRUE,Need-based,1,Very Dissatisfied 
87-499-6916,48,Male,Middle,Married,High School,Middle,Ndewel,Food & Beverages,79,10,Online,2,Low,2,High Return,Cash,Standard,FALSE,14/09/2024,1,1,Medium,Very Sensitive,Low,Smartphone,7,TRUE,Planned,6,Somewhat Satisfied 
30-520-8656,19,Female,Middle,Married,Bachelor's,Middle,San Patricio,Groceries,113.88,2,Online,2,Low,2,High Return,PayPal,Express,FALSE,29/03/2024,5,2,Medium,Not Sensitive,High,Tablet,9,FALSE,Wants-based,4,Somewhat Dissatisfied 
36-323-3504,29,Male,Middle,Widowed,Master's,High,Fengtai,Travel & Leisure Flights,121.57,4,Mixed,5,High,0,No Return,Other,No Preference,FALSE,06/06/2024,1,0,High,Not Sensitive,High,Desktop,13,TRUE,Impulsive,4,Somewhat Dissatisfied 
66-515-3648,20,Female,Middle,Married,Bachelor's,Middle,Magdalena,Health Supplements,215.54,11,Online,1,Low,2,High Return,Credit Card,No Preference,TRUE,08/04/2024,3,2,Low,Somewhat Sensitive,High,Desktop,10,TRUE,Planned,6,Somewhat Satisfied 
09-216-1957,31,Male,High,Divorced,Master's,Middle,Leśnica,Furniture,87.03,10,Mixed,1,Low,1,Low Return,PayPal,No Preference,FALSE,11/08/2024,1,0,Low,Very Sensitive,High,Desktop,7,TRUE,Need-based,5,Neutral 
23-253-2565,23,Male,High,Divorced,High School,High,Hinlayagan Ilaud,Travel & Leisure Flights,111.75,4,Store,4,Medium,1,Low Return,Debit Card,Standard,FALSE,10/10/2024,1,0,High,Not Sensitive,High,Tablet,8,TRUE,Impulsive,6,Somewhat Satisfied 
74-509-4985,19,Female,High,Single,High School,Middle,Forshaga,Office Supplies,136.2,2,Mixed,2,Low,0,No Return,PayPal,Express,TRUE,15/06/2024,3,2,Low,Not Sensitive,High,Tablet,9,TRUE,Need-based,1,Very Dissatisfied 
05-857-1572,23,Male,Middle,Widowed,Bachelor's,High,Rakszawa,Food & Beverages,439.31,4,Store,2,Low,0,No Return,Debit Card,No Preference,FALSE,11/08/2024,3,1,Medium,Very Sensitive,Medium,Smartphone,7,TRUE,Wants-based,6,Somewhat Satisfied 
26-521-8328,49,Female,Middle,Divorced,Bachelor's,High,Fengjiang,Health Care,194.93,9,Online,4,Medium,0,No Return,Other,No Preference,TRUE,28/03/2024,4,1,High,Somewhat Sensitive,None,Tablet,5,TRUE,Impulsive,4,Somewhat Dissatisfied 
90-093-0469,42,Male,Middle,Divorced,Bachelor's,High,Ōkuchi,Food & Beverages,377.67,8,Online,3,Medium,2,High Return,PayPal,No Preference,TRUE,13/05/2024,5,0,None,Very Sensitive,High,Desktop,14,FALSE,Need-based,1,Very Dissatisfied 
75-953-8663,35,Female,High,Single,Master's,Middle,Acobambilla,Health Care,366.77,7,Mixed,3,Medium,0,No Return,Debit Card,Standard,FALSE,18/09/2024,4,2,Low,Not Sensitive,None,Smartphone,1,FALSE,Impulsive,9,Very Satisfied 
38-478-2681,22,Female,Middle,Single,Bachelor's,Middle,Kyonju,Jewelry & Accessories,178.04,5,Store,1,Low,0,No Return,Credit Card,No Preference,FALSE,16/07/2024,5,2,Medium,Somewhat Sensitive,High,Tablet,12,FALSE,Need-based,5,Neutral 
70-895-5298,28,Female,Middle,Married,Master's,High,Pomar,Toys & Games,461.09,8,Online,1,Low,0,No Return,Debit Card,No Preference,TRUE,03/08/2024,4,0,Medium,Somewhat Sensitive,Medium,Smartphone,8,FALSE,Need-based,4,Somewhat Dissatisfied 
02-653-5884,42,Female,High,Married,Bachelor's,Middle,Zalţan,Hotels,211.16,5,Store,3,Medium,0,No Return,PayPal,Standard,FALSE,28/06/2024,2,1,High,Very Sensitive,None,Smartphone,2,FALSE,Planned,3,Dissatisfied 
11-719-8800,37,Female,Middle,Widowed,Master's,High,Trélazé,Animal Feed,421.95,8,Mixed,5,High,1,Low Return,Other,No Preference,FALSE,18/03/2024,3,0,Medium,Not Sensitive,None,Smartphone,7,TRUE,Need-based,1,Very Dissatisfied 
59-355-5251,33,Female,Middle,Widowed,High School,High,Messina,Furniture,378.59,5,Online,1,Low,0,No Return,Other,No Preference,FALSE,15/10/2024,2,0,None,Somewhat Sensitive,High,Desktop,14,FALSE,Wants-based,4,Somewhat Dissatisfied 
86-044-1071,30,Male,Middle,Divorced,Master's,Middle,Ngawi,Health Care,444.87,11,Online,4,Medium,1,Low Return,Other,No Preference,FALSE,29/11/2024,5,0,Medium,Not Sensitive,Low,Desktop,7,FALSE,Wants-based,8,Satisfied 
08-733-0300,39,Female,Middle,Widowed,Bachelor's,High,Oslo,Beauty & Personal Care,160.82,7,Store,1,Low,0,No Return,Cash,No Preference,TRUE,09/07/2024,3,1,High,Somewhat Sensitive,High,Smartphone,3,TRUE,Wants-based,1,Very Dissatisfied 
70-108-1493,25,Male,Middle,Single,High School,High,Dobrica,Hotels,494.18,6,Mixed,5,High,1,Low Return,Cash,Standard,FALSE,03/08/2024,4,1,Medium,Not Sensitive,None,Desktop,14,FALSE,Need-based,2,Very Dissatisfied 
46-230-8307,38,Male,High,Single,Master's,Middle,La Roche-sur-Yon,Home Appliances,177.05,5,Online,1,Low,2,High Return,Cash,Standard,TRUE,04/12/2024,3,1,None,Somewhat Sensitive,Low,Tablet,1,TRUE,Impulsive,1,Very Dissatisfied 
74-431-0242,41,Female,Middle,Widowed,Bachelor's,High,Point Pedro,Food & Beverages,450.66,7,Store,5,High,2,High Return,Credit Card,No Preference,FALSE,13/06/2024,2,0,High,Somewhat Sensitive,Medium,Tablet,9,TRUE,Need-based,4,Somewhat Dissatisfied 
78-272-6417,49,Female,Middle,Divorced,High School,High,Marseille,Arts & Crafts,164.27,6,Online,3,Medium,2,High Return,PayPal,No Preference,TRUE,13/07/2024,5,2,High,Not Sensitive,Low,Desktop,14,FALSE,Wants-based,7,Satisfied 
13-792-4356,21,Female,High,Divorced,Bachelor's,Middle,Tianbao,Food & Beverages,346.36,12,Mixed,5,High,0,No Return,Credit Card,Standard,FALSE,04/09/2024,4,0,Medium,Somewhat Sensitive,Medium,Smartphone,14,FALSE,Need-based,7,Satisfied 
04-563-9091,37,Female,Middle,Widowed,Master's,High,Puqian,Animal Feed,377.77,9,Mixed,2,Low,1,Low Return,Credit Card,Standard,TRUE,26/08/2024,4,1,Medium,Not Sensitive,Medium,Tablet,3,TRUE,Impulsive,5,Neutral 
79-592-5396,30,Female,High,Married,Master's,High,Binalbagan,Travel & Leisure Flights,163.41,2,Store,5,High,1,Low Return,Other,Express,TRUE,25/02/2024,5,2,Low,Not Sensitive,High,Desktop,4,TRUE,Need-based,8,Satisfied 
39-952-4459,18,Female,High,Divorced,High School,High,Tessalit,Hotels,467.58,10,Mixed,2,Low,1,Low Return,PayPal,Standard,TRUE,15/04/2024,1,0,None,Somewhat Sensitive,Low,Desktop,7,TRUE,Wants-based,6,Somewhat Satisfied 
